model,param_grid,best_params,grid_scoring_metric,cv_best_score,cv_r2_mean,cv_r2_std,cv_mse_mean,cv_mse_std
LightGBM,"{""n_estimators"": [100, 200], ""max_depth"": [3, 5, 7], ""learning_rate"": [0.05, 0.1]}","{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 200}",neg_mean_squared_error,-245.31308407911857,0.8586416864618925,0.007427110142946923,245.31308407911857,11.517860487696968
CatBoost,"{""iterations"": [100, 200], ""depth"": [4, 6], ""learning_rate"": [0.05, 0.1]}","{""depth"": 6, ""iterations"": 200, ""learning_rate"": 0.1}",neg_mean_squared_error,-241.5230366225447,0.8608324842044031,0.006596317220296729,241.5230366225447,10.205343760756179
GradientBoosting,"{""n_estimators"": [100, 200], ""max_depth"": [2, 3, 4], ""learning_rate"": [0.05, 0.1]}","{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",neg_mean_squared_error,-248.55642435841295,0.8567830910428658,0.007786392674414052,248.55642435841295,12.572240209522821
XGBoost,"{""n_estimators"": [100, 200], ""max_depth"": [3, 5, 7], ""learning_rate"": [0.05, 0.1]}","{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200}",neg_mean_squared_error,-246.33721923828125,0.8580583691596985,0.0071440824999733366,246.33721923828125,11.222146992430813
SVM,"{""C"": [1, 10, 100], ""epsilon"": [0.1, 0.5]}","{""C"": 100, ""epsilon"": 0.5}",neg_mean_squared_error,-308.56548388343657,0.8222568064065856,0.007831155630868834,308.56548388343657,14.1833548230183
KNN,"{""n_neighbors"": [5, 10, 15, 20], ""weights"": [""uniform"", ""distance""]}","{""n_neighbors"": 20, ""weights"": ""distance""}",neg_mean_squared_error,-292.8179404841188,0.8313023796352514,0.00867188429124869,292.8179404841188,14.719712344018706
LinearRegression,"{""fit_intercept"": [true, false], ""positive"": [false, true]}","{""fit_intercept"": true, ""positive"": false}",neg_mean_squared_error,-400.6458092370307,0.7692094134237457,0.005282623881004802,400.6458092370307,10.024227125138
Ridge,"{""alpha"": [0.1, 1.0, 10.0, 100.0], ""solver"": [""auto""]}","{""alpha"": 100.0, ""solver"": ""auto""}",neg_mean_squared_error,-400.6119827568623,0.7692292139559539,0.005301269746523639,400.6119827568623,10.076861850614836
BayesianRidge,"{""alpha_1"": [1e-06, 1e-05, 0.0001], ""lambda_1"": [1e-06, 1e-05, 0.0001]}","{""alpha_1"": 1e-06, ""lambda_1"": 0.0001}",neg_mean_squared_error,-400.62383254915665,0.7692222749585131,0.005294072156452899,400.62383254915665,10.057174708471218
MLP,"{""hidden_layer_sizes"": [[50], [100], [50, 50]], ""alpha"": [0.0001, 0.001], ""learning_rate_init"": [0.001, 0.01]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50, 50], ""learning_rate_init"": 0.01}",neg_mean_squared_error,-242.33927192232846,0.8603722299924812,0.00642081630264847,242.33927192232846,10.27079490231559
