model,point_estimate_mse,ci_lower,ci_upper,n_rows
Stacking_Ridge,241.8830437128167,232.88651628716502,251.02968044241626,13096
FixedWeighted_XGBoost70_MLP30,242.13160735138038,233.26250759824578,251.18721487723153,13096
XGBoost,245.18883094743126,236.2528349030915,254.40015076061243,13096
MLP,245.3180574424524,236.32255478952936,254.47989423848577,13096
CatBoost,246.50044894229418,237.319893184149,255.90678602733618,13096
LightGBM,246.91744766765112,237.77812127876638,256.30617441798904,13096
GradientBoosting,248.11493237936807,238.9677738532463,257.39234985724386,13096
KNN,277.592342717449,267.78243769241317,287.6551147932145,13096
SVM,295.04913038255927,283.6234566762217,306.72368215267454,13096
Ridge,364.74308624170055,355.14553588601404,374.4701590069119,13096
BayesianRidge,364.7458555104963,355.14236261139354,374.47200274933664,13096
LinearRegression,364.7520165602125,355.13885153085533,374.4770339722917,13096
