model,tier,R2_mean,R2_std,MSE_mean,MSE_std,MAE_mean,MAE_std,PHM08_mean,PHM08_std,mean_fit_seconds
CatBoost,1,0.846098609790219,0.02166747868407999,267.2681816713149,37.640209926778844,11.351503275707,0.9080396477010174,24174.28922110088,4976.605927893612,20.265784788131715
LightGBM,1,0.845687370945018,0.02276306663215966,267.9823860258048,39.54289409392029,11.266209904958394,1.0052727598516458,24603.31582501554,4514.521860860679,5.549905490875244
XGBoost,1,0.8445629385442679,0.024250766277613578,269.93506351045073,42.125619595339735,11.376734413931931,1.0708776756713316,25268.61195392056,5318.65205885847,5.075907611846924
GradientBoosting,2,0.8439455941946962,0.021979665438997098,271.0069779259096,38.18100061024305,11.369286992832736,0.9899746119973545,25458.195346033324,4617.655689671509,13.518128919601441
MLP,2,0.8432426795853474,0.017642468368297796,272.2280269843989,30.65505296660933,11.488916122307177,0.9620454261051862,28238.22528388714,6199.5466855088935,3.180327892303467
SVM,2,0.8379644173062971,0.026517061432774512,281.394248766209,46.06173043934393,11.341122949752062,1.1125726335494568,30838.502075504257,7716.730659767117,18.549924421310426
KNN,2,0.8377339550489186,0.025290719640539056,281.7943002469053,43.930710089148896,11.866793834145003,1.0731244900847081,31537.0745165231,6790.8992268683605,0.6473627090454102
Ridge,3,0.7675835446122469,0.03463409178214509,403.6192606781957,60.167507408814345,16.319711808201966,1.3348764041709034,31558.37472002318,4627.347239560761,0.18753485679626464
BayesianRidge,3,0.7675721363867263,0.0346883105894384,403.6390787899405,60.26169913817816,16.31697641308657,1.3353859237467993,31571.549222490088,4642.802084064264,0.2776681900024414
LinearRegression,3,0.7675676057055405,0.03471013582503501,403.64694917865756,60.29961229743704,16.315908392844968,1.3356909364251075,31576.653055966337,4648.759241542862,0.21967644691467286
