group1,group2,z,p_raw,p_holm,reject
LightGBM,CatBoost,0.4121678698554468,0.6802163854981265,1.0,False
LightGBM,GradientBoosting,-0.3253956867279841,0.7448816195459562,1.0,False
LightGBM,XGBoost,-0.13015827469119362,0.8964412056590132,1.0,False
LightGBM,SVM,-1.9957602119316367,0.04596002958729062,1.0,False
LightGBM,KNN,-1.7137506167673837,0.08657453645177937,1.0,False
LightGBM,LinearRegression,-3.2322638214979773,0.001228136116534717,0.04789730854485397,True
LightGBM,Ridge,-3.1888777299342457,0.0014282627501185363,0.052845721754385844,False
LightGBM,BayesianRidge,-3.2105707757161115,0.0013247164198080252,0.05033922395270496,False
LightGBM,MLP,0.26031654938238746,0.7946196079838266,1.0,False
CatBoost,GradientBoosting,-0.7375635565834309,0.4607797080498761,1.0,False
CatBoost,XGBoost,-0.5423261445466404,0.5875938479556577,1.0,False
CatBoost,SVM,-2.407928081787084,0.01604334108779737,0.4813002326339211,False
CatBoost,KNN,-2.125918486622831,0.033510047318014546,0.9382813249044073,False
CatBoost,LinearRegression,-3.644431691353424,0.0002679832958563111,0.012059248313533999,True
CatBoost,Ridge,-3.601045599789692,0.000316939976795938,0.013628419002225334,True
CatBoost,BayesianRidge,-3.622738645571558,0.0002915003139309924,0.012826013812963666,True
CatBoost,MLP,-0.15185132047305935,0.8793042035569301,1.0,False
GradientBoosting,XGBoost,0.19523741203679043,0.8452070919942265,1.0,False
GradientBoosting,SVM,-1.6703645252036528,0.0948472639005884,1.0,False
GradientBoosting,KNN,-1.3883549300393996,0.16502899328410314,1.0,False
GradientBoosting,LinearRegression,-2.906868134769993,0.0036506705516876625,0.12047212820569286,False
GradientBoosting,Ridge,-2.8634820432062615,0.004190125634546016,0.1298938946709265,False
GradientBoosting,BayesianRidge,-2.8851750889881274,0.003911960292735772,0.1251827293675447,False
GradientBoosting,MLP,0.5857122361103715,0.5580689099460763,1.0,False
XGBoost,SVM,-1.8656019372404435,0.06209707839577794,1.0,False
XGBoost,KNN,-1.5835923420761902,0.11328651772990983,1.0,False
XGBoost,LinearRegression,-3.1021055468067833,0.0019214943550858177,0.06917379678308944,False
XGBoost,Ridge,-3.0587194552430517,0.002222852046052992,0.07557696956580173,False
XGBoost,BayesianRidge,-3.0804125010249175,0.0020671408241876854,0.07234992884656899,False
XGBoost,MLP,0.3904748240735811,0.6961854682386801,1.0,False
SVM,KNN,0.28200959516425317,0.7779361529163793,1.0,False
SVM,LinearRegression,-1.2365036095663404,0.21627142484749307,1.0,False
SVM,Ridge,-1.1931175180026086,0.2328233516916538,1.0,False
SVM,BayesianRidge,-1.2148105637844746,0.2244383508669956,1.0,False
SVM,MLP,2.2560767613140245,0.024065824220078635,0.6979089023822804,False
KNN,LinearRegression,-1.5185132047305936,0.12888507323288945,1.0,False
KNN,Ridge,-1.4751271131668617,0.14017837232552477,1.0,False
KNN,BayesianRidge,-1.4968201589487278,0.1344400594109385,1.0,False
KNN,MLP,1.974067166149771,0.04837410618234239,1.0,False
LinearRegression,Ridge,0.043386091563731854,0.9653937645863273,1.0,False
LinearRegression,BayesianRidge,0.021693045781865927,0.9826928111310826,1.0,False
LinearRegression,MLP,3.492580370880365,0.0004783776126817685,0.020091859732634276,True
Ridge,BayesianRidge,-0.021693045781865927,0.9826928111310826,1.0,False
Ridge,MLP,3.449194279316633,0.0005622620104666076,0.022490480418664305,True
BayesianRidge,MLP,3.4708873250984986,0.0005187416185228333,0.021268406359436165,True
