model_a,model_b,point_estimate_delta_mse,ci_lower,ci_upper,ci_level,n_engines,n_resamples,ci_excludes_zero
LightGBM,CatBoost,0.7139372386736227,-3.495568879064351,4.687207733563294,0.95,100,10000,False
LightGBM,XGBoost,-1.9528365401487804,-4.3900406196681985,0.4973283176706979,0.95,100,10000,False
LightGBM,GradientBoosting,-3.0258251550219484,-5.217438035642192,-0.9011272035332137,0.95,100,10000,True
LightGBM,MLP,-4.244692775615647,-13.790865224642635,5.45204298787961,0.95,100,10000,False
LightGBM,SVM,-13.41130603291208,-27.01500709447922,-0.7989331442177641,0.95,100,10000,True
LightGBM,KNN,-13.81241585453364,-28.746321968919215,1.5701151781121117,0.95,100,10000,False
LightGBM,LinearRegression,-135.65906544893886,-171.07146591290874,-103.59289655380348,0.95,100,10000,True
LightGBM,Ridge,-135.63143208161068,-170.6503178467281,-103.91352485908777,0.95,100,10000,True
LightGBM,BayesianRidge,-135.65120980913895,-170.95313045371935,-103.62882313836859,0.95,100,10000,True
CatBoost,XGBoost,-2.666773778822403,-7.201939477123791,2.0722357545692405,0.95,100,10000,False
CatBoost,GradientBoosting,-3.739762393695571,-8.878099406297277,1.449803824537099,0.95,100,10000,False
CatBoost,MLP,-4.95863001428927,-14.936932687110831,5.085833884915766,0.95,100,10000,False
CatBoost,SVM,-14.125243271585703,-26.61123460805532,-2.66988246337645,0.95,100,10000,True
CatBoost,KNN,-14.526353093207263,-28.05507353836069,-0.7873135794802679,0.95,100,10000,True
CatBoost,LinearRegression,-136.37300268761248,-171.0378712668168,-105.33842180917206,0.95,100,10000,True
CatBoost,Ridge,-136.3453693202843,-170.6927609965728,-105.50327396005595,0.95,100,10000,True
CatBoost,BayesianRidge,-136.36514704781257,-170.9059190673392,-105.38502464618155,0.95,100,10000,True
XGBoost,GradientBoosting,-1.072988614873168,-4.213627442048407,2.0777995493229295,0.95,100,10000,False
XGBoost,MLP,-2.2918562354668666,-12.583668650238323,8.201628599789974,0.95,100,10000,False
XGBoost,SVM,-11.4584694927633,-25.054037480091356,1.377183273423846,0.95,100,10000,False
XGBoost,KNN,-11.85957931438486,-26.505243139637248,3.5148572386520294,0.95,100,10000,False
XGBoost,LinearRegression,-133.70622890879008,-169.29965432959747,-101.59536678721469,0.95,100,10000,True
XGBoost,Ridge,-133.6785955414619,-168.9875100954132,-101.65001157850055,0.95,100,10000,True
XGBoost,BayesianRidge,-133.69837326899017,-169.17640970035742,-101.60028870706533,0.95,100,10000,True
GradientBoosting,MLP,-1.2188676205936986,-10.285812450774232,8.267171553067701,0.95,100,10000,False
GradientBoosting,SVM,-10.385480877890132,-24.58207379620159,2.974878460905506,0.95,100,10000,False
GradientBoosting,KNN,-10.786590699511692,-26.70191812524103,5.786484919988611,0.95,100,10000,False
GradientBoosting,LinearRegression,-132.6332402939169,-168.65747476077644,-99.7788061322727,0.95,100,10000,True
GradientBoosting,Ridge,-132.60560692658873,-168.36118676433256,-99.9172247134906,0.95,100,10000,True
GradientBoosting,BayesianRidge,-132.625384654117,-168.58055084307048,-99.79890672184368,0.95,100,10000,True
MLP,SVM,-9.166613257296433,-23.237237719422023,4.3287197939322555,0.95,100,10000,False
MLP,KNN,-9.567723078917993,-26.117895758470656,7.2309631667184995,0.95,100,10000,False
MLP,LinearRegression,-131.41437267332321,-168.24882219367717,-98.19074720713924,0.95,100,10000,True
MLP,Ridge,-131.38673930599504,-167.86888288223335,-98.40539291558557,0.95,100,10000,True
MLP,BayesianRidge,-131.4065170335233,-168.1402374503798,-98.24428747027804,0.95,100,10000,True
SVM,KNN,-0.40110982162156006,-11.334518118586946,10.949727818021383,0.95,100,10000,False
SVM,LinearRegression,-122.24775941602678,-152.74586510634478,-95.33460696227422,0.95,100,10000,True
SVM,Ridge,-122.2201260486986,-152.3170102690926,-95.57019130820714,0.95,100,10000,True
SVM,BayesianRidge,-122.23990377622687,-152.5980700579835,-95.40900086311392,0.95,100,10000,True
KNN,LinearRegression,-121.84664959440522,-153.11179468504767,-94.23490614700215,0.95,100,10000,True
KNN,Ridge,-121.81901622707704,-152.63397252304313,-94.4594593879127,0.95,100,10000,True
KNN,BayesianRidge,-121.83879395460531,-152.98564493601899,-94.26381247882513,0.95,100,10000,True
LinearRegression,Ridge,0.027633367328178338,-0.4778362014172372,0.6028755167439653,0.95,100,10000,False
LinearRegression,BayesianRidge,0.00785563979991366,-0.1327330659110458,0.16746491519315185,0.95,100,10000,False
Ridge,BayesianRidge,-0.019777727528264677,-0.4351213368520248,0.34494052097220873,0.95,100,10000,False
