model,is_ensemble,nested_cv_r2_mean,nested_cv_r2_std,nested_cv_mse_mean,nested_cv_mse_std,fold_stability_mse_std,is_best_by_mean_mse,statistically_distinguishable_from_best,practically_different_from_best,verdict_vs_best,mean_fit_seconds_per_fold,cost_tier,interpretability,physical_plausibility,frozen_for_final_eval,freeze_rationale
StackingEnsemble,True,0.8475283863498977,0.020770339987887722,264.7853764256746,36.0842027076879,36.0842027076879,True,False,False,is the reference (lowest mean nested-CV MSE),"~48 (sum of 5 base learners: LightGBM+CatBoost+XGBoost+GradientBoosting+MLP, + Ridge meta-learner refit)",highest cost (5 base fits + meta-learner per fold),"moderate -- decomposable via linear meta-learner coefficients (Ridge is linear, same trick used in Phase 1 SHAP), but 5 components vs 1",no physical prior in any candidate; not differentiating at this tier,True,"Numerically lowest MSE and the direct subject of the paper being reproduced (""interpretable ENSEMBLE RUL prediction""); frozen as primary candidate despite the gain being statistically unconfirmed, so the final report can honestly state whether ensembling's added cost/complexity was worth it once real held-out numbers are in."
CatBoost,False,0.846098609790219,0.02166747868407999,267.26818167131484,37.64020992677886,37.64020992677886,False,False,False,no significant difference detected,20.265785,highest single-model cost,high -- single TreeExplainer,no physical prior; not differentiating,False,"Statistically tied with Stacking/LightGBM but ~4x the per-fold cost of LightGBM/XGBoost for no confirmed accuracy gain -- not frozen, kept as a reference point in the report."
LightGBM,False,0.845687370945018,0.02276306663215966,267.9823860258048,39.54289409392029,39.54289409392029,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),5.549905,low cost,high -- single TreeExplainer, exact,no physical prior; not differentiating,True,"Statistically indistinguishable from Stacking and CatBoost (the two lower point estimates), but ~4x cheaper to fit than CatBoost, needs no meta-learner infrastructure, is one of only two models in the entire top-tier bootstrap table with a CONFIRMED win (beats GradientBoosting, CI excludes zero), and matches one half of the paper's own reference architecture (LightGBM+CatBoost). Frozen as the single-model comparator specifically to test whether Stacking's added complexity earns its keep on the official test set."
XGBoost,False,0.8445629385442679,0.024250766277613578,269.93506351045073,42.12561959533973,42.12561959533973,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),5.075908,low cost,high -- single TreeExplainer, exact,no physical prior; not differentiating,False,"Statistically tied with the frozen candidates and similarly cheap, but does not have a confirmed win over any other top-tier model (unlike LightGBM vs GradientBoosting) -- not frozen, kept as a reference point in the report."
GradientBoosting,False,0.8439455941946961,0.02197966543899708,271.0069779259096,38.18100061024305,38.18100061024305,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),13.518129,moderate cost,high -- single TreeExplainer,no physical prior; not differentiating,False,"Significantly WORSE than LightGBM in the engine-level bootstrap (only confirmed pairwise result in the whole top tier) -- not frozen."
MLP,False,0.8432426795853474,0.017642468368297803,272.22802698439887,30.65505296660934,30.65505296660934,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),3.180328,low cost,low -- requires permutation/kernel SHAP (no exact TreeExplainer),no physical prior; not differentiating,False,"Statistically tied but weaker interpretability story than the tree models and no confirmed pairwise win -- not frozen."
SVM,False,0.8379644173062971,0.026517061432774516,281.394248766209,46.061730439343926,46.061730439343926,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),18.549924,high cost,low,no physical prior,False,"Weaker tier by point estimate and among the most expensive to fit -- not frozen."
KNN,False,0.8377339550489186,0.02529071964053905,281.79430024690527,43.930710089148896,43.930710089148896,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),0.647363,low cost,low,no physical prior,False,"Weaker tier by point estimate -- not frozen."
Ridge,False,0.7675835446122469,0.034634091782145084,403.61926067819564,60.167507408814316,60.167507408814316,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),0.187535,lowest cost,high -- linear coefficients,no physical prior,False,"Significantly worse than the tree/boosting/MLP cluster in Phase 1's own analysis and confirmed weaker here too -- not frozen."
BayesianRidge,False,0.7675721363867264,0.03468831058943845,403.6390787899405,60.26169913817819,60.26169913817819,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),0.277668,lowest cost,high -- linear coefficients,no physical prior,False,"Weakest tier -- not frozen."
LinearRegression,False,0.7675676057055403,0.03471013582503502,403.64694917865756,60.29961229743706,60.29961229743706,False,False,True,not statistically confirmed despite >=1% MSE effect (likely underpowered at n=5 folds),0.219676,lowest cost,high -- linear coefficients,no physical prior,False,"Weakest tier -- not frozen."
