model,tier,outer_fold,n_train_rows,n_test_rows,R2,MSE,MAE,PHM08_RUL_Score,fit_seconds
LightGBM,1,1,16511,4120,0.830091458312112,295.1363139253501,12.072771632016929,24920.709138599952,10.66301965713501
CatBoost,1,1,16511,4120,0.8320033252715193,291.81534276339596,12.06089828270699,23782.208723338055,23.896341800689697
XGBoost,1,1,16511,4120,0.8298712235317153,295.51886844932363,12.169429574791089,25233.323790690214,4.880693435668945
GradientBoosting,2,1,16511,4120,0.8296119015863501,295.96931856981035,12.128210232763818,25666.182988515684,14.372942686080933
MLP,2,1,16511,4120,0.8336138850668902,289.0177513260258,12.433522827925007,22597.079883691593,2.6886298656463623
SVM,2,1,16511,4120,0.8239868594735198,305.7401881115266,12.10907366563205,27787.086187293826,18.358755350112915
KNN,2,1,16511,4120,0.8240448020272073,305.6395401302957,12.59869144057013,29069.98530322074,2.6660940647125244
LinearRegression,3,1,16511,4120,0.7250737933144831,477.5551978528138,17.946360007075924,35355.726845836485,0.2302684783935547
Ridge,3,1,16511,4120,0.7251890779158281,477.35494498762347,17.949578388350186,35297.96303191579,0.19381117820739746
BayesianRidge,3,1,16511,4120,0.7251058592457674,477.4994983531427,17.947185753048352,35339.939392835644,0.2783942222595215
LightGBM,1,2,16498,4133,0.8408187242690592,276.3624147695731,11.443460971318721,22598.193078209566,4.813988447189331
CatBoost,1,2,16498,4133,0.8412546517745474,275.6055796611221,11.477656400493533,22904.01875714777,19.281803846359253
XGBoost,1,2,16498,4133,0.8399031242251042,277.9520328823105,11.56694979180789,22908.367051868438,5.118687391281128
GradientBoosting,2,2,16498,4133,0.8387524195063073,279.9498277442574,11.618768362904058,23245.377786708435,13.686833143234253
MLP,2,2,16498,4133,0.8463579018710016,266.7455770423908,11.261571844441816,22908.25732854115,2.7319679260253906
SVM,2,2,16498,4133,0.8335658083128245,288.9545576493288,11.505252020625168,26163.223077938965,17.997559309005737
KNN,2,2,16498,4133,0.830523870491539,294.2358149957666,12.26534339775773,28991.560375191344,0.13368582725524902
LinearRegression,3,2,16498,4133,0.7476103188359455,438.1860958780021,16.979168514346984,31860.375361734972,0.23329758644104004
Ridge,3,2,16498,4133,0.7476487751545384,438.1193299784284,16.98485787128497,31824.58865383286,0.18785381317138672
BayesianRidge,3,2,16498,4133,0.747622659630605,438.1646704195329,16.980674715247716,31850.177254994735,0.2799723148345947
LightGBM,1,3,16505,4126,0.8794853264211084,209.28898147952978,10.01202856353303,19622.55051851678,3.9776053428649902
CatBoost,1,3,16505,4126,0.8748287149023186,217.3757766636481,10.370843275522263,19862.668384502525,19.1791353225708
XGBoost,1,3,16505,4126,0.8809372007523675,206.7676179724831,9.980435076409385,19240.598125520082,5.163363933563232
GradientBoosting,2,3,16505,4126,0.8781420209523079,211.62180141781826,10.028558231633,20010.58024228683,13.349404335021973
MLP,2,3,16505,4126,0.8687042398327909,228.0117026578313,10.273240682812101,29008.57539031793,3.6284737586975098
SVM,2,3,16505,4126,0.874478345124165,217.98423812177074,10.057699291538086,25599.146505821896,19.177491426467896
KNN,2,3,16505,4126,0.8650318546981718,234.38926417461914,10.798632649621098,30697.8592727082,0.1601877212524414
LinearRegression,3,3,16505,4126,0.8044218645429535,339.6461821113888,14.831127462147814,27601.05311990062,0.2122204303741455
Ridge,3,3,16505,4126,0.8044513123755213,339.5950422235904,14.83118844475737,27608.03157588042,0.18649935722351074
BayesianRidge,3,3,16505,4126,0.8044322069766514,339.6282211664649,14.831084929323207,27602.786947066168,0.27718567848205566
LightGBM,1,4,16506,4125,0.8220722057087081,309.0061710113395,12.33702581418524,31833.711337479403,4.0082502365112305
CatBoost,1,4,16506,4125,0.8214240465636372,310.13182524890306,12.374523664054887,32677.835113394576,17.992634773254395
XGBoost,1,4,16506,4125,0.8180673480161597,315.96138419739015,12.554889437213088,33709.1686649082,5.263632774353027
GradientBoosting,2,4,16506,4125,0.8220676825159893,309.01402641396703,12.380795213402322,32568.585194989057,13.174269437789917
MLP,2,4,16506,4125,0.8212226843903544,310.4815297703382,12.498413302609858,37859.95692106997,3.044848918914795
SVM,2,4,16506,4125,0.8054419422833259,337.8878532940653,12.662588772116687,44232.10892424601,18.40806794166565
KNN,2,4,16506,4125,0.806664774655039,335.76416738834786,13.012290279748882,43240.025034967905,0.1293177604675293
