model,tier,outer_fold,seconds
LightGBM,1,1,10.66301965713501
CatBoost,1,1,23.896341800689697
XGBoost,1,1,4.880693435668945
GradientBoosting,2,1,14.372942686080933
MLP,2,1,2.6886298656463623
SVM,2,1,18.358755350112915
KNN,2,1,2.6660940647125244
LinearRegression,3,1,0.2302684783935547
Ridge,3,1,0.19381117820739746
BayesianRidge,3,1,0.2783942222595215
LightGBM,1,2,4.813988447189331
CatBoost,1,2,19.281803846359253
XGBoost,1,2,5.118687391281128
GradientBoosting,2,2,13.686833143234253
MLP,2,2,2.7319679260253906
SVM,2,2,17.997559309005737
KNN,2,2,0.13368582725524902
LinearRegression,3,2,0.23329758644104004
Ridge,3,2,0.18785381317138672
BayesianRidge,3,2,0.2799723148345947
LightGBM,1,3,3.9776053428649902
CatBoost,1,3,19.1791353225708
XGBoost,1,3,5.163363933563232
GradientBoosting,2,3,13.349404335021973
MLP,2,3,3.6284737586975098
SVM,2,3,19.177491426467896
KNN,2,3,0.1601877212524414
LinearRegression,3,3,0.2122204303741455
Ridge,3,3,0.18649935722351074
BayesianRidge,3,3,0.27718567848205566
LightGBM,1,4,4.0082502365112305
CatBoost,1,4,17.992634773254395
XGBoost,1,4,5.263632774353027
GradientBoosting,2,4,13.174269437789917
MLP,2,4,3.044848918914795
SVM,2,4,18.40806794166565
KNN,2,4,0.1293177604675293
LinearRegression,3,4,0.21210956573486328
Ridge,3,4,0.1841566562652588
BayesianRidge,3,4,0.2695155143737793
LightGBM,1,5,4.286663770675659
CatBoost,1,5,20.979008197784424
XGBoost,1,5,4.953160524368286
GradientBoosting,2,5,13.007194995880127
MLP,2,5,3.8077189922332764
SVM,2,5,18.807748079299927
KNN,2,5,0.14752817153930664
LinearRegression,3,5,0.21048617362976074
Ridge,3,5,0.18535327911376953
BayesianRidge,3,5,0.28327322006225586
