model,R2,MSE,MAE,PHM08_RUL_Score
LightGBM,0.6753702641928014,246.9174476676512,10.024566572409444,76548.95056017124
CatBoost,0.6759185048591588,246.50044894229416,10.01787485585404,76569.09230197588
GradientBoosting,0.6737958953125551,248.11493237936807,10.187928966630006,73616.58109926191
XGBoost,0.6776429414749146,245.18881225585935,10.056164741516112,71883.11404238125
SVM,0.6120901048063834,295.04913038255927,10.295743511514184,96118.96996287872
KNN,0.6350410644137208,277.592342717449,10.727811104301226,78846.71347303274
LinearRegression,0.5204496406002759,364.7520165602125,15.073319475573,102988.38450845856
Ridge,0.5204613815564805,364.74308624170055,15.072397027762,102899.5298088258
BayesianRidge,0.520457740716167,364.7458555104963,15.072735985808396,102932.65376993315
MLP,0.6774730302434118,245.3180574424524,10.305787577353236,82073.76959896213
FixedWeighted_XGBoost70_MLP30,0.6816623512533222,242.13160735138035,10.005732651867143,72575.76785463173
Stacking_Ridge,0.6819891452854183,241.8830437128167,9.980941225920024,76737.50858589253
