model,fold,track_a_groupkfold_R2,track_a_groupkfold_MSE,track_a_groupkfold_MAE,track_a_groupkfold_PHM08_RUL_Score,n_train_rows,n_test_rows,n_train_engines,n_test_engines,feature_set
LightGBM,1,0.4384730304454244,2814.2690212282187,35.288013667223076,4253523000.9161263,16511.0,4120,80.0,20.0,id_cycle_included
CatBoost,1,0.4269766715733233,2871.886639588278,36.279132606937196,4988818379.477716,16511.0,4120,80.0,20.0,id_cycle_included
LightGBM,2,0.45314040972388747,2624.14416610364,33.320193850867106,261219907.50859353,16498.0,4133,80.0,20.0,id_cycle_included
CatBoost,2,0.43672734709864414,2702.903400286915,33.494074033261995,256293597.82059303,16498.0,4133,80.0,20.0,id_cycle_included
LightGBM,3,0.5424902193967642,2174.9580976335737,31.955640588140664,94202172.18882947,16505.0,4126,80.0,20.0,id_cycle_included
CatBoost,3,0.44761240030338245,2625.998249498481,36.13078173840069,742029787.6724467,16505.0,4126,80.0,20.0,id_cycle_included
LightGBM,4,0.5295351459150102,2172.4347093240026,33.478829229209325,96039319.83494009,16506.0,4125,80.0,20.0,id_cycle_included
CatBoost,4,0.5551026268141734,2054.373429181519,32.46952226628256,86747885.73659685,16506.0,4125,80.0,20.0,id_cycle_included
LightGBM,5,0.2404543158614907,3447.733987367616,41.379565366433575,152132900954.56726,16504.0,4127,80.0,20.0,id_cycle_included
CatBoost,5,0.26710093722395234,3326.7794957045157,41.55822663276677,81916828870.18846,16504.0,4127,80.0,20.0,id_cycle_included
LightGBM,overall_pooled,0.44213488032695514,2646.7134243919536,35.08417369003059,156837885355.0158,,20631,,,id_cycle_included
CatBoost,overall_pooled,0.42744655933101594,2716.4001192412657,35.98585722623908,87990718520.89581,,20631,,,id_cycle_included
