model,fold,track_a_ablation_R2,track_a_ablation_MSE,track_a_ablation_MAE,track_a_ablation_PHM08_RUL_Score,n_train_rows,n_test_rows,n_train_engines,n_test_engines,feature_set
LightGBM,1,0.5559154391469793,2225.6694516485313,32.697705002395885,270517332.5561446,16511.0,4120,80.0,20.0,id_cycle_dropped
CatBoost,1,0.5757278387730915,2126.3733794613127,32.176111647653705,186780736.9603161,16511.0,4120,80.0,20.0,id_cycle_dropped
LightGBM,2,0.5898945497145704,1967.919817060261,31.247348058192912,30016186.13008558,16498.0,4133,80.0,20.0,id_cycle_dropped
CatBoost,2,0.606734644948086,1887.1114369030297,30.670707616776312,24845233.376238845,16498.0,4133,80.0,20.0,id_cycle_dropped
LightGBM,3,0.6371030703005502,1725.177579407136,28.69399760321887,16620691.173845045,16505.0,4126,80.0,20.0,id_cycle_dropped
CatBoost,3,0.6521177527680742,1653.7992032485324,27.923045394228588,12273695.179728642,16505.0,4126,80.0,20.0,id_cycle_dropped
LightGBM,4,0.5435953902313997,2107.509641044657,34.00691480643802,25684868.454256922,16506.0,4125,80.0,20.0,id_cycle_dropped
CatBoost,4,0.5603118976893975,2030.3189206218572,33.46677082214617,17135711.442324694,16506.0,4125,80.0,20.0,id_cycle_dropped
LightGBM,5,0.664092339566541,1524.7539176094956,27.69422798448532,6454665.512958566,16504.0,4127,80.0,20.0,id_cycle_dropped
CatBoost,5,0.6803143178285883,1451.119023798158,27.08948800727589,4084394.2753962446,16504.0,4127,80.0,20.0,id_cycle_dropped
LightGBM,overall_pooled,0.5973945196978285,1910.105672270828,30.867329296388498,349293743.8272907,,20631,,,id_cycle_dropped
CatBoost,overall_pooled,0.6143527906095451,1829.6495159461215,30.26449743165322,245119771.2340045,,20631,,,id_cycle_dropped
