group1,group2,meandiff,p-adj,lower,upper,reject
BayesianRidge,CatBoost,-159.1008,0.0,-186.5784,-131.6232,True
BayesianRidge,GradientBoosting,-152.0674,0.0,-179.545,-124.5898,True
BayesianRidge,KNN,-107.8059,0.0,-135.2835,-80.3283,True
BayesianRidge,LightGBM,-155.3107,0.0,-182.7884,-127.8331,True
BayesianRidge,LinearRegression,0.022,1.0,-27.4556,27.4996,False
BayesianRidge,MLP,-158.2846,0.0,-185.7622,-130.8069,True
BayesianRidge,Ridge,-0.0118,1.0,-27.4895,27.4658,False
BayesianRidge,SVM,-92.0583,0.0,-119.536,-64.5807,True
BayesianRidge,XGBoost,-154.2866,0.0,-181.7642,-126.809,True
CatBoost,GradientBoosting,7.0334,0.997,-20.4442,34.511,False
CatBoost,KNN,51.2949,0.0,23.8173,78.7725,True
CatBoost,LightGBM,3.79,1.0,-23.6876,31.2677,False
CatBoost,LinearRegression,159.1228,0.0,131.6452,186.6004,True
CatBoost,MLP,0.8162,1.0,-26.6614,28.2938,False
CatBoost,Ridge,159.0889,0.0,131.6113,186.5666,True
CatBoost,SVM,67.0424,0.0,39.5648,94.5201,True
CatBoost,XGBoost,4.8142,0.9998,-22.6634,32.2918,False
GradientBoosting,KNN,44.2615,0.0001,16.7839,71.7391,True
GradientBoosting,LightGBM,-3.2433,1.0,-30.721,24.2343,False
GradientBoosting,LinearRegression,152.0894,0.0,124.6118,179.567,True
GradientBoosting,MLP,-6.2172,0.9988,-33.6948,21.2605,False
GradientBoosting,Ridge,152.0556,0.0,124.5779,179.5332,True
GradientBoosting,SVM,60.0091,0.0,32.5314,87.4867,True
GradientBoosting,XGBoost,-2.2192,1.0,-29.6968,25.2584,False
KNN,LightGBM,-47.5049,0.0,-74.9825,-20.0272,True
KNN,LinearRegression,107.8279,0.0,80.3503,135.3055,True
KNN,MLP,-50.4787,0.0,-77.9563,-23.0011,True
KNN,Ridge,107.794,0.0,80.3164,135.2717,True
KNN,SVM,15.7475,0.657,-11.7301,43.2252,False
KNN,XGBoost,-46.4807,0.0001,-73.9583,-19.0031,True
LightGBM,LinearRegression,155.3327,0.0,127.8551,182.8103,True
LightGBM,MLP,-2.9738,1.0,-30.4514,24.5038,False
LightGBM,Ridge,155.2989,0.0,127.8213,182.7765,True
LightGBM,SVM,63.2524,0.0,35.7748,90.73,True
LightGBM,XGBoost,1.0241,1.0,-26.4535,28.5017,False
LinearRegression,MLP,-158.3065,0.0,-185.7842,-130.8289,True
LinearRegression,Ridge,-0.0338,1.0,-27.5114,27.4438,False
LinearRegression,SVM,-92.0803,0.0,-119.5579,-64.6027,True
LinearRegression,XGBoost,-154.3086,0.0,-181.7862,-126.831,True
MLP,Ridge,158.2727,0.0,130.7951,185.7503,True
MLP,SVM,66.2262,0.0,38.7486,93.7038,True
MLP,XGBoost,3.9979,1.0,-23.4797,31.4756,False
Ridge,SVM,-92.0465,0.0,-119.5241,-64.5689,True
Ridge,XGBoost,-154.2748,0.0,-181.7524,-126.7971,True
SVM,XGBoost,-62.2283,0.0,-89.7059,-34.7507,True
