group1,group2,meandiff,p-adj,lower,upper,reject
BayesianRidge,CatBoost,0.0916,0.0,0.0753,0.1079,True
BayesianRidge,GradientBoosting,0.0876,0.0,0.0713,0.1038,True
BayesianRidge,KNN,0.0621,0.0,0.0458,0.0783,True
BayesianRidge,LightGBM,0.0894,0.0,0.0732,0.1057,True
BayesianRidge,LinearRegression,-0.0,1.0,-0.0163,0.0163,False
BayesianRidge,MLP,0.0911,0.0,0.0749,0.1074,True
BayesianRidge,Ridge,0.0,1.0,-0.0163,0.0163,False
BayesianRidge,SVM,0.053,0.0,0.0368,0.0693,True
BayesianRidge,XGBoost,0.0888,0.0,0.0726,0.1051,True
CatBoost,GradientBoosting,-0.004,0.9975,-0.0203,0.0122,False
CatBoost,KNN,-0.0295,0.0,-0.0458,-0.0133,True
CatBoost,LightGBM,-0.0022,1.0,-0.0185,0.0141,False
CatBoost,LinearRegression,-0.0916,0.0,-0.1079,-0.0754,True
CatBoost,MLP,-0.0005,1.0,-0.0167,0.0158,False
CatBoost,Ridge,-0.0916,0.0,-0.1079,-0.0753,True
CatBoost,SVM,-0.0386,0.0,-0.0548,-0.0223,True
CatBoost,XGBoost,-0.0028,0.9999,-0.019,0.0135,False
GradientBoosting,KNN,-0.0255,0.0002,-0.0417,-0.0092,True
GradientBoosting,LightGBM,0.0019,1.0,-0.0144,0.0181,False
GradientBoosting,LinearRegression,-0.0876,0.0,-0.1038,-0.0713,True
GradientBoosting,MLP,0.0036,0.999,-0.0127,0.0199,False
GradientBoosting,Ridge,-0.0876,0.0,-0.1038,-0.0713,True
GradientBoosting,SVM,-0.0345,0.0,-0.0508,-0.0183,True
GradientBoosting,XGBoost,0.0013,1.0,-0.015,0.0175,False
KNN,LightGBM,0.0273,0.0001,0.0111,0.0436,True
KNN,LinearRegression,-0.0621,0.0,-0.0784,-0.0458,True
KNN,MLP,0.0291,0.0,0.0128,0.0453,True
KNN,Ridge,-0.0621,0.0,-0.0783,-0.0458,True
KNN,SVM,-0.009,0.6932,-0.0253,0.0072,False
KNN,XGBoost,0.0268,0.0001,0.0105,0.043,True
LightGBM,LinearRegression,-0.0894,0.0,-0.1057,-0.0732,True
LightGBM,MLP,0.0017,1.0,-0.0145,0.018,False
LightGBM,Ridge,-0.0894,0.0,-0.1057,-0.0731,True
LightGBM,SVM,-0.0364,0.0,-0.0527,-0.0201,True
LightGBM,XGBoost,-0.0006,1.0,-0.0168,0.0157,False
LinearRegression,MLP,0.0912,0.0,0.0749,0.1074,True
LinearRegression,Ridge,0.0,1.0,-0.0162,0.0163,False
LinearRegression,SVM,0.053,0.0,0.0368,0.0693,True
LinearRegression,XGBoost,0.0888,0.0,0.0726,0.1051,True
MLP,Ridge,-0.0911,0.0,-0.1074,-0.0749,True
MLP,SVM,-0.0381,0.0,-0.0544,-0.0218,True
MLP,XGBoost,-0.0023,1.0,-0.0186,0.014,False
Ridge,SVM,0.053,0.0,0.0368,0.0693,True
Ridge,XGBoost,0.0888,0.0,0.0726,0.1051,True
SVM,XGBoost,0.0358,0.0,0.0195,0.0521,True
